,article_id,prod_name,product_type_name,product_group_name,graphical_appearance_name,colour_group_name,garment_group_name,detail_desc,material,seasonality,occasion
0,695255001,Siv t-shirt,T-shirt,Garment Upper body,All over pattern,Dark Blue,Jersey Fancy,Short-sleeved top in soft viscose jersey with a unique nursing feature. The design includes a double layer at the top to help retain warmth while allowing easier nursing access.,viscose jersey,all year,casual
1,821115007,RICHIE SKIRT,Skirt,Garment Lower body,Check,Pink,Skirts,"Short, pleated skirt in woven fabric with a high waist and concealed zip and press-stud at one side. Unlined.",woven fabric,unknown,unknown
2,553238008,THORN LS TEE,Sweater,Garment Upper body,Solid,White,Jersey Basic,"Wide, long-sleeved top in soft cotton jersey with an open chest pocket, ribbing around the neckline and short slits in the sides. Loose fit.",cotton,fall/winter,casual
3,627147001,Bling Me Up Push,Bikini top,Swimwear,Lace,Dark Red,Swimwear,"Fully lined bikini top with hole-patterned, underwired, moulded, padded cups that lift and shape, and ties at the back of the neck.",lace,summer,beach/swim
4,794520001,Plus seam at back 1p tights,Underwear Tights,Socks & Tights,Solid,Black,Socks and Tights,Tights with a seam down the back of the legs. 30 denier.,unknown,unknown,unknown
5,697564030,KELLY SHIRT S.0,Shirt,Garment Upper body,Stripe,Blue,Blouses,"Shirt in airy cotton with a collar, buttons down the front, long sleeves with buttoned cuffs, and a rounded hem.",cotton,all year,casual
6,698715001,Emma Fancy Slipon SG,Sneakers,Shoes,Placement print,Light Pink,Shoes,Slip-on trainers in cotton canvas with a print motif and sequins. Glittery elastic gores in the sides and a loop at the back. Contrasting colour canvas linings and insoles and rubber soles.,cotton canvas,unknown,casual
7,526562001,Sonny jogger,Trousers,Garment Lower body,Solid,Black,Trousers,"Pull-on trousers in stretch cotton twill with an elasticated drawstring waist, fake fly, side pockets and fake back pockets. Tapered legs with gathers below the knees and a zip at the hems.",cotton twill,all year,casual
8,649099001,Polkagris,Shorts,Garment Lower body,Stripe,Red,Shorts,"Shorts in a viscose and cotton weave containing some linen with a high paper bag waist and fly with a concealed zip. Pleats at the top, a detachable tie belt, side pockets and short legs with sewn-in turn-ups. Unlined.",viscose and cotton weave containing some linen,all year,casual
9,762061003,2P S/J pants,Trousers,Garment Lower body,All over pattern,Light Turquoise,Jersey Basic,Trousers in soft organic cotton jersey with an elasticated drawstring waist.,organic cotton jersey,all year,unknown
10,646152001,ES Mia tee,T-shirt,Garment Upper body,Solid,White,Jersey Fancy,Fitted T-shirt in airy cotton jersey.,cotton jersey,all year,unknown
11,767228003,FASHION OFFER GRAYHAM  SET,Garment Set,Garment Full body,Placement print,Dark Orange,Jersey Fancy,Set with a top in lightweight sweatshirt fabric and pair of leggings in soft jersey. Printed top with press-studs on one shoulder. Leggings with an elasticated waist and ribbed hems.,sweatshirt fabric and soft jersey,spring/fall,casual
12,786347001,Katie,Dress,Garment Full body,Solid,Black,Jersey Basic,Straight-cut dress in ribbed jersey with a turtle neck and long sleeves.,ribbed jersey,all year,unknown
13,564310012,Anthony 3pk  Fancy,Underwear bottom,Underwear,All over pattern,Light Pink,"Under-, Nightwear","Trunks in stretch cotton jersey with flatlock seams, short legs, an elasticated waist and a lined front.",cotton jersey,all year,unknown
14,819758001,ROXO REGULAR CREW,Sweater,Garment Upper body,Placement print,Black,Jersey Fancy,"Long-sleeved top in sturdy, printed jersey with a round neckline and ribbing at the cuffs and hem.",jersey,all year,unknown
15,558825002,APRIL SHIRT S.7,Shirt,Garment Upper body,Check,Light Orange,Blouses,"Long shirt in an airy viscose weave with a collar, buttons down the front and chest pocket. Long sleeves with buttoned cuffs and a rounded hem with slits in the sides. Slightly longer at the back.",viscose,spring/fall,casual
16,783707070,1pk Fun,Socks,Socks & Tights,All over pattern,Orange,Socks and Tights,"Socks in a soft, jacquard-knit cotton blend with elasticated tops.",cotton blend,all year,unknown
17,738401001,PE MAJ DRESS,Dress,Garment Full body,All over pattern,White,Unknown,"Calf-length dress in a snakeskin-patterned, airy weave with a draped front and decorative wrapover detail at the top. Long sleeves with a width that creates an asymmetric finish, draping with a sewn-in wrapover at the back, a seam at the waist and draped skirt with a slit at the front. Concealed zip in one side. Lined skirt.",airy weave,unknown,unknown
